# y+ ()       
# Time        	patch         	min           	max           	average       
0.00336       	back	2.256589e+00	6.706507e+02	9.149655e+01
0.00336       	carMirror	3.947684e-02	2.387866e+02	2.617208e+01
0.00344       	back	3.073633e+00	6.560040e+02	9.401581e+01
0.00344       	carMirror	3.940125e-02	2.091703e+02	2.619946e+01
0.00352       	back	1.967888e+00	6.345143e+02	9.644867e+01
0.00352       	carMirror	5.076689e-02	2.093518e+02	2.621561e+01
0.0036        	back	3.134220e+00	6.247491e+02	9.877246e+01
0.0036        	carMirror	6.090837e-02	2.047927e+02	2.622359e+01
0.00368       	back	4.354608e+00	6.541537e+02	1.009896e+02
0.00368       	carMirror	4.640779e-02	2.105496e+02	2.624543e+01
0.00376       	back	3.515193e+00	6.820388e+02	1.032210e+02
0.00376       	carMirror	3.556437e-02	2.075058e+02	2.628890e+01
0.00384       	back	2.671254e+00	7.048244e+02	1.054701e+02
0.00384       	carMirror	2.480175e-02	2.051471e+02	2.634307e+01
0.00392       	back	2.220574e+00	7.219284e+02	1.077207e+02
0.00392       	carMirror	1.082607e-02	2.077286e+02	2.638733e+01
0.004         	back	1.988374e+00	7.478625e+02	1.099948e+02
0.004         	carMirror	1.074975e-02	2.099220e+02	2.642238e+01
0.00408       	back	1.801620e+00	7.691328e+02	1.122630e+02
0.00408       	carMirror	1.093879e-02	2.186332e+02	2.644213e+01
0.00416       	back	1.690674e+00	7.814386e+02	1.144913e+02
0.00416       	carMirror	1.303852e-02	2.116321e+02	2.646188e+01
0.00424       	back	1.953061e+00	8.007805e+02	1.166561e+02
0.00424       	carMirror	1.177057e-02	2.113221e+02	2.648412e+01
0.00432       	back	2.429476e+00	8.157940e+02	1.187149e+02
0.00432       	carMirror	1.708713e-02	2.217698e+02	2.651169e+01
0.0044        	back	2.400390e+00	8.241728e+02	1.206643e+02
0.0044        	carMirror	2.343845e-02	2.352429e+02	2.652562e+01
0.00448       	back	3.072934e+00	8.364384e+02	1.225157e+02
0.00448       	carMirror	3.050587e-02	2.447984e+02	2.651344e+01
0.00456       	back	2.439369e+00	8.509201e+02	1.242272e+02
0.00456       	carMirror	3.938218e-02	2.495581e+02	2.650472e+01
0.00464       	back	3.568222e+00	8.727397e+02	1.258578e+02
0.00464       	carMirror	4.843671e-02	2.271328e+02	2.650288e+01
0.00472       	back	3.843332e+00	8.993231e+02	1.275043e+02
0.00472       	carMirror	5.645175e-02	2.236803e+02	2.651207e+01
0.0048        	back	3.706750e+00	9.252946e+02	1.291610e+02
0.0048        	carMirror	3.659026e-02	2.079242e+02	2.652229e+01
0.00488       	back	3.035713e+00	9.391236e+02	1.307946e+02
